id,nome,url_feed,descricao,ativo,criado_em,atualizado_em,clean_domain
166,Feed Google News - PORTAL PIAUÍ DO BEM,https://news.google.com/rss/search?q=site:https://www.piauidobem.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ DO BEM,1,2025-03-23 20:49:32,2025-03-23 21:31:28,piauidobem.com
167,Feed Google News - PORTAL PIAUÍ EM PAUTA,https://news.google.com/rss/search?q=site:http://piauiempauta.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ EM PAUTA,1,2025-03-23 20:49:34,2025-03-23 21:31:28,piauiempauta.com.br
168,Feed Google News - PORTAL PIAUÍ HOJE,https://news.google.com/rss/search?q=site:https://piauihoje.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ HOJE,1,2025-03-23 20:49:35,2025-03-23 21:31:28,piauihoje.com
169,Feed Google News - PORTAL PICOS 40 GRAUS,https://news.google.com/rss/search?q=site:https://www.picos40graus.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PICOS 40 GRAUS,1,2025-03-23 20:49:36,2025-03-23 21:31:28,picos40graus.com.br
170,Feed Google News - PORTAL PIN PIAUÍ,https://news.google.com/rss/search?q=site:http://www.pinpiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIN PIAUÍ,1,2025-03-23 20:49:38,2025-03-23 21:31:28,pinpiaui.com
171,Feed Google News - PORTAL R10,https://news.google.com/rss/search?q=site:https://www.portalr10.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL R10,1,2025-03-23 20:49:39,2025-03-23 21:31:28,portalr10.com
172,"Feed Google News - PORTAL RÁDIO LIDERANÇA 90,0",https://news.google.com/rss/search?q=site:https://liderfm90.com.br/cidade+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,"Feed RSS do Google News para o portal PORTAL RÁDIO LIDERANÇA 90,0",1,2025-03-23 20:49:41,2025-03-23 21:31:28,liderfm90.com.br
173,Feed Google News - PORTAL REDE PIAUÍ NOTÍCIAS,https://news.google.com/rss/search?q=site:https://redepiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL REDE PIAUÍ NOTÍCIAS,1,2025-03-23 20:49:42,2025-03-23 21:31:34,redepiaui.com
174,Feed Google News - PORTAL RELATO IMPARCIAL,https://news.google.com/rss/search?q=site:https://www.relatoimparcial.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RELATO IMPARCIAL,1,2025-03-23 20:49:44,2025-03-23 21:31:34,relatoimparcial.com
175,Feed Google News - PORTAL RP50,https://news.google.com/rss/search?q=site:https://rp50.com.br/blog/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RP50,1,2025-03-23 20:49:45,2025-03-23 21:31:34,rp50.com.br
176,Feed Google News - PORTAL SAMBITO,https://news.google.com/rss/search?q=site:https://portalsambito.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SAMBITO,1,2025-03-23 20:49:47,2025-03-23 21:31:34,portalsambito.com
177,Feed Google News - PORTAL SEM FRONTEIRAS,https://news.google.com/rss/search?q=site:https://www.portalsemfronteiras.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SEM FRONTEIRAS,1,2025-03-23 20:49:48,2025-03-23 21:31:34,portalsemfronteiras.com.br
178,Feed Google News - PORTAL TERESINA DIÁRIO,https://news.google.com/rss/search?q=site:https://www.teresinadiario.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TERESINA DIÁRIO,1,2025-03-23 20:49:50,2025-03-23 21:31:34,teresinadiario.com
179,Feed Google News - PORTAL TV WEB JENIPAPO,https://news.google.com/rss/search?q=site:https://rtvjenipapo.com/contato+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TV WEB JENIPAPO,1,2025-03-23 20:49:51,2025-03-23 21:31:34,rtvjenipapo.com
180,Feed Google News - PORTAL DE CAMPO MAIOR,https://news.google.com/rss/search?q=site:https://portaldecampomaior.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DE CAMPO MAIOR,1,2025-03-23 20:49:53,2025-03-23 21:31:34,portaldecampomaior.com.br
181,Feed Google News - PORTAL FOUR LIVE | ANTIGO UNIVERSO,https://news.google.com/rss/search?q=site:https://fourlivetv.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOUR LIVE | ANTIGO UNIVERSO,1,2025-03-23 20:49:54,2025-03-23 21:31:34,fourlivetv.com.br
182,Feed Google News - PORTAL WALCY VIEIRA,https://news.google.com/rss/search?q=site:https://walcyvieira.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL WALCY VIEIRA,1,2025-03-23 20:49:56,2025-03-23 21:31:34,walcyvieira.com
183,Feed Google News - PORTAL WEBPIAUÍ,https://news.google.com/rss/search?q=site:https://www.webpiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL WEBPIAUÍ,1,2025-03-23 20:49:57,2025-03-23 21:31:40,webpiaui.com.br
184,Feed Google News - PORTAL FOLHA EXPRESSA,https://news.google.com/rss/search?q=site:https://folhaexpressa.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOLHA EXPRESSA,1,2025-03-23 20:49:59,2025-03-23 21:31:40,folhaexpressa.com
